Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
BUR,Lulu Optical,Female,L792 BUR 51,Lulu Optical L792 BUR 51,764724826512,51
NAV,Lulu Optical,Female,L792 NAV 51,Lulu Optical L792 NAV 51,764724826505,51
BLK,Lulu Optical,Female,L793 BLK 53,Lulu Optical L793 BLK 53,764724828813,53
BRN,Lulu Optical,Female,L793 BRN 53,Lulu Optical L793 BRN 53,764724828806,53
BUR,Lulu Optical,Female,L793 BUR 53,Lulu Optical L793 BUR 53,764724828790,53
BLK,Lulu Optical,Female,L794 BLK 52,Lulu Optical L794 BLK 52,764724828820,52
BRN,Lulu Optical,Female,L794 BRN 52,Lulu Optical L794 BRN 52,764724828837,52
TEA,Lulu Optical,Female,L794 TEA 52,Lulu Optical L794 TEA 52,764724828844,52
BLK,Lulu Optical,Female,L795 BLK 54,Lulu Optical L795 BLK 54,764724835361,54
BRN,Lulu Optical,Female,L795 BRN 54,Lulu Optical L795 BRN 54,764724835378,54
BUR,Lulu Optical,Female,L795 BUR 54,Lulu Optical L795 BUR 54,764724835354,54
BLK,Lulu Optical,Female,L796 BLK 55,Lulu Optical L796 BLK 55,764724835804,55
Unassigned,Lulu Optical,Female,L796 BLK 90,Lulu Optical L796 BLK 90,764724998394,Unassigned
BRN,Lulu Optical,Female,L796 BRN 55,Lulu Optical L796 BRN 55,764724835781,55
TEA,Lulu Optical,Female,L796 TEA 55,Lulu Optical L796 TEA 55,764724835798,55
BLK,Lulu Optical,Female,L797 BLK 54,Lulu Optical L797 BLK 54,764724838508,54
GLD,Lulu Optical,Female,L797 GLD 54,Lulu Optical L797 GLD 54,764724838928,54
Unassigned,Lulu Optical,Female,L797 GLD 90,Lulu Optical L797 GLD 90,764724998233,Unassigned
SIL,Lulu Optical,Female,L797 SIL 54,Lulu Optical L797 SIL 54,764724838348,54
BLK,Lulu Optical,Female,L798 BLK 53,Lulu Optical L798 BLK 53,764724841904,53
Unassigned,Lulu Optical,Female,L798 BLK 90,Lulu Optical L798 BLK 90,764724998295,Unassigned
BRN,Lulu Optical,Female,L798 BRN 53,Lulu Optical L798 BRN 53,764724841911,53
TEA,Lulu Optical,Female,L798 TEA 53,Lulu Optical L798 TEA 53,764724841928,53
BLK,Lulu Optical,Female,L799 BLK 53,Lulu Optical L799 BLK 53,764724850852,53
